go version go1.27.1 freebsd/amd64
Done vet in 3981.43ms
Done test in 6002.00ms
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkStatementsWithPreparedData/BigCo/1.StatementsWithPreparedData-8       	 1920246	       624.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/BigCo/1.StatementsWithPreparedData-8       	 1921209	       623.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/BigCo/1.StatementsWithPreparedData-8       	 1925841	       627.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/BigCo/1.StatementsWithPreparedData-8       	 1924142	       621.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/BigCo/1.StatementsWithPreparedData-8       	 1933106	       627.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/Random/1.StatementsWithPreparedData-8      	    1980	    604428 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/Random/1.StatementsWithPreparedData-8      	    1993	    605373 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/Random/1.StatementsWithPreparedData-8      	    1989	    604072 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/Random/1.StatementsWithPreparedData-8      	    1988	    604012 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/Random/1.StatementsWithPreparedData-8      	    1989	    604841 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/Random/1.StatementsWithPreparedData-8      	    1977	    606573 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/Random/1.StatementsWithPreparedData-8      	    1988	    604179 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatementsWithPreparedData/Random/1.StatementsWithPreparedData-8      	    1978	    604538 ns/op	       0 B/op	       0 allocs/op
PASS
Done check-bench in 244847.80ms
